,participant_ID,csv,total_bonus_paid_cents,part1_average,part2_average,part3_average
80,81,bayes_3KTCJ4SCWJNOQMCGKHNZM8NGX5Y1MC_A1B47DEE2CW2FD_3X4MXAO0BKABBN25CFD3QH26BS9WRX_results.,366.0,10271.987395999957,5305.95997999997,4677.030129999932
81,82,bayes_3UOMW19E7GSA5I188FVXM2VLHA3C5Z_A2GY8FV96EVCZN_3TY7ZAOG5J6WGTOPTOBLIA7PX7P0K3_results.,368.0,14992.450000000046,11787.050399999996,8826.156746666615
82,83,bayes_3DIIW4IV9SHJM2J8MK89SDN2U1NI4X_A3FXVNZ5VG98IP_35GMH2SV3I3EXAOYZN2TAGQ281AEOX_results.,500.0,8950.649991999997,5227.458075999991,3451.75364199999
83,84,bayes_3VLL1PIEOTA9LLI058B466WX75BOZW_ALCPF5NANBDSZ_3OLQQLKKNWB0WZX1JAAO2K9G93YJE9_results.,364.0,11386.040379999968,10642.929416000019,10425.496328000001
84,85,bayes_3QGHA0EA1MML8WOMQGMB1I2GJJ7WBN_A12EO8AAUDZIU8_3V0Z7YWSI2MHSELF7FT637BLAKFV21_results.,5.0,10695.766628000085,8131.008077333257,7377.23327599999
85,86,bayes_31JUPBOOSQQMV4EGJQVZ15VZDAG8LD_A1P1S83I3IOLC6_3UJ1CZ6IZLBTZJNYV3QZQRUQVHAS5A_results.,476.0,10337.004803999782,9002.862163999973,7395.687525999866
86,87,bayes_3RQVKZ7ZSN5CU4NPZFLO890VVOK27R_AT6KZZ2OTABWK_3R9WASFE232I2S21W7XG8WI5Z8IFZ5_results.,500.0,10974.987940000032,2590.112176000071,1920.6489480000016
87,88,bayes_35YHTYFL2JPY6O0X583BY6ANQFJVFT_A17UFWAF1F49QY_3HUTX6F6VY9M2UCI637S8FHD8UW2OK_results.,375.0,7966.690800000023,2433.677488000038,2047.4638979999902
88,89,bayes_3RZS0FBRXNWEYSJRSU4BK8024OMCPR_A1JVA6HGVN1D5N_32N49TQG3K46XHGJKUML9PUIO4WAV4_results.,500.0,18779.5800693343,5073.9477933344,3473.617391999982
89,90,bayes_3R5OYNIC3FVVK9L2EGZ19I06WGUTPF_A1MXDBILWV8RXN_3A4TN5196O4P8VIXZJ180JTYBQ0CH5_results.,243.0,8489.609129333643,5986.400787999974,2991.889711333309
90,91,bayes_3421H3BMAD3GEJ9QLXP0LMDITRRJ99_A1366LR1S7TYG_3X31TUMD71877ORPA7RMBF3ER53L19_results.,493.0,19918.05421999995,12290.489000000118,12858.361752000135
91,92,bayes_3V7ICJJA0D29ZU52GAGS6QJPYR9B4I_A32LIZBWLWHLYU_34V1S5K3GWN7D8RDRG0D123ZRYZ696_results.,369.0,10181.01067600004,5543.823899999967,5668.023778000049
92,93,bayes_3QREJ3J446J6Q5GHSFS2RA4Q7RQLKM_A1RNQ5X21BF816_3KB8R4ZV1ITSYUVG1DNV4ZBE4XWBGF_results.,500.0,14677.631055999891,7349.915268000401,4878.020550000351
93,94,bayes_3Y3N5A7N5JVLGSNJW6U80VYQ6T4YMC_A27LX2664E6W8R_3F6KKYWMNFNRNJAM2DRWP98CLQADNJ_results.,250.0,13557.835027999874,4784.078004000297,3432.458938000166
94,95,bayes_304QEQWK0S6CJ0CA1EYC07TBOKFO0Y_A2A4LHPXF2E2GS_31N2WW6R9VCHHZV8B0274VDRLLHF3P_results.,435.0,26552.261008000165,24437.70917999931,19902.782663999962
95,96,bayes_3XU80RHWI22PEVKT1V65YCDJPPP44J_A19L5DAZ1J3WXC_34FNN24DCQVQV5Z7U9IO8DIRAMZ5YW_results.,490.0,29802.785808000302,29547.00063600028,16857.26501800028
96,97,bayes_3J9UN9O9K6EYIPLDL167SBCPQ8I0J5_AISXC5K0Z1U0B_3MAOD8E57UW5LPF3TDS8JGB4Z5SXN3_results.,361.0,10611.192551999986,16546.293547999758,11859.470856000082
97,98,bayes_374UMBUHO8BCQKCY9BDVPI1ZXG3CTA_A2JEM59HAWM4GX_3VNXK88KKG4SSY6ESO8LDUJZHVC9V5_results.,375.0,13497.09802000001,6619.339031999923,8161.484495999925
98,99,bayes_373L46LKQAS0VFSHPUGPBVRY4KHJKF_A1UZ0DA8FN2D0X_3C2NJ6JBKE34K9C65O7FTQH8O9B2N9_results.,335.0,35463.314744000345,11438.809095999948,9626.148272000031
99,100,bayes_3X55NP42FR2QLSN8Z1TAR5W811L3PF_A34CPKFZXBX1PO_3SITXWYCNZV3KGQ6QNNZSLBADC6XBT_results.,466.0,6555.965463999978,6216.241037333481,8208.749203999907
